parent_strain	strain	parent_country	country	date	dist	desc_count	total_proportion	country_proportion
NODE_0002986	Japan/P2-1/2020_travel_history	Canada	Egypt	2020.1926229508197	0.0	3.0	0.00038629925315477725	0.1
Japan/P2-1/2020_travel_history	Japan/P2-1/2020	Egypt	Japan	2020.1926229508197	0.0	1.0	0.0001287664177182591	0.02857142857142857
NODE_0002988	NODE_0002992	United Kingdom	Chile	2020.2325666152888	0.00918453375311401	21.0	0.002704094772083441	0.02702702702702703
NODE_0003009	NODE_0003011	Belgium	Spain	2020.1969243263907	0.01546448087447061	7.0	0.0009013649240278136	0.012048192771084338
NODE_0003005	NODE_0003012	Spain	Poland	2020.2140063037648	0.00789149922593424	27.0	0.003476693278392995	0.18181818181818182
India/763/2020_travel_history	India/763/2020	Italy	India	2020.1734972677596	0.0	1.0	0.0001287664177182591	0.011111111111111112
NODE_0003022	NODE_0003029	France	Norway	2020.2288490453702	0.011037512828579565	17.0	0.0021890291012104045	0.05263157894736842
India/781/2020_travel_history	India/781/2020	Italy	India	2020.1734972677596	0.0	1.0	0.0001287664177182591	0.011111111111111112
India/772/2020_travel_history	India/772/2020	Italy	India	2020.1734972677596	0.0	1.0	0.0001287664177182591	0.011111111111111112
India/773/2020_travel_history	India/773/2020	Italy	India	2020.1734972677596	0.0	1.0	0.0001287664177182591	0.011111111111111112
NODE_0003047	NODE_0003048	Switzerland	Belgium	2020.2030121686553	0.013103604467687546	27.0	0.003476693278392995	0.0045871559633027525
NODE_0003048	NODE_0003050	Belgium	USA	2020.0790806010555	0.011237045396683243	6.0	0.0007725985063095545	0.0019646365422396855
NODE_0003050	France/N2223/2020	Italy	France	2020.1762295081967	0.0	2.0	0.0002575328354365182	0.017241379310344827
NODE_0003050	Ghana/2944_S9/2020	Russia	Ghana	2020.2472677595629	0.0710382513661898	2.0	0.0002575328354365182	0.1
NODE_0003057	NODE_0003058	USA	Israel	2020.1564922464017	0.008342332840356903	10.0	0.0012876641771825909	0.022727272727272728
NODE_0003061	Switzerland/GE1184/2020	Germany	Switzerland	2020.2581967213114	0.06284153005458393	2.0	0.0002575328354365182	0.020833333333333332
NODE_0003621	Switzerland/GE6065/2020	Democratic Republic of the Congo	Switzerland	2020.266393442623	0.05251166975767774	2.0	0.0002575328354365182	0.020833333333333332
NODE_0003075	NODE_0003076	Israel	USA	2020.1902380886238	0.008317956665450765	22.0	0.0028328611898017	0.0019646365422396855
Finland/FIN-266/2020_travel_history	Finland/FIN-266/2020	Iran	Finland	2020.1762295081967	0.0	1.0	0.0001287664177182591	0.07142857142857142
NODE_0003665	Russia/Moscow-71602/2020	USA	Russia	2020.217213114754	0.04045337990692133	3.0	0.00038629925315477725	0.013157894736842105
NODE_0003692	NODE_0003693	USA	Colombia	2020.2379858683792	0.022057688865515956	4.0	0.0005150656708730364	0.05263157894736842
NODE_0003762	NODE_0003155	USA	Colombia	2020.1836408725962	0.029962585450221013	4.0	0.0005150656708730364	0.05263157894736842
NODE_0003900	NODE_0003901	USA	Austria	2020.1953551912568	0.02486773881287263	4.0	0.0005150656708730364	0.023255813953488372
NODE_0004167	Netherlands/NoordHolland_3/2020	Belgium	Netherlands	2020.198087431694	0.021681181280428063	3.0	0.00038629925315477725	0.012987012987012988
NODE_0003437	NODE_0003978	USA	Israel	2020.2363387978141	0.05431484510722839	1401.0	0.18040175122328098	0.29545454545454547
NODE_0003983	NODE_0003985	USA	Israel	2020.2117486338798	0.018002359558067837	6.0	0.0007725985063095545	0.022727272727272728
NODE_0003437	NODE_0003536	Saudi Arabia	India	2020.189788413686	0.027322404371716402	1401.0	0.18040175122328098	0.08888888888888889
NODE_0003437	NODE_0003928	USA	Israel	2020.2029796336778	0.029792895729997326	1401.0	0.18040175122328098	0.29545454545454547
NODE_0003928	NODE_0003931	USA	Belgium	2020.21124133026	0.010687777850307612	9.0	0.0011588977594643318	0.0045871559633027525
NODE_0004152	NODE_0003190	India	Saudi Arabia	2020.2254098360656	0.02176518992541787	4.0	0.0005150656708730364	0.02702702702702703
NODE_0003193	NODE_0003194	Saudi Arabia	India	2020.2115424819403	0.009999994535519363	4.0	0.0005150656708730364	0.011111111111111112
NODE_0003857	USA/CT-UW-5773/2020	Australia	USA	2020.2609289617485	0.08388920595257332	14.0	0.0018027298480556271	0.0019646365422396855
NODE_0003199	NODE_0003200	Belgium	Netherlands	2020.2090163934427	0.007040373308200287	6.0	0.0007725985063095545	0.012987012987012988
NODE_0003956	NODE_0003962	United Kingdom	Georgia	2020.2297103130904	0.019655367771520105	19.0	0.0024465619366469227	0.16666666666666666
NODE_0004154	NODE_0004165	USA	Colombia	2020.2385882168214	0.0178861748061081	21.0	0.002704094772083441	0.05263157894736842
NODE_0003275	NODE_0003277	USA	France	2020.202743267039	0.01728423395684331	6.0	0.0007725985063095545	0.017241379310344827
NODE_0003894	Argentina/PAIS_A019/2020	Taiwan	Argentina	2020.26912568306	0.07445834682425811	2.0	0.0002575328354365182	0.05
NODE_0003307	NODE_0004224	USA	Ghana	2020.2100698066329	0.016076967219078142	12.0	0.001545197012619109	0.1
NODE_0003311	Argentina/PAIS_A006/2020	USA	Argentina	2020.2418032786884	0.014299779151087932	4.0	0.0005150656708730364	0.05
NODE_0003315	NODE_0003316	Algeria	France	2020.1598360655737	0.009483830107001268	12.0	0.001545197012619109	0.034482758620689655
NODE_0003327	Ghana/2333_S5/2020	USA	Ghana	2020.2390710382513	0.019251040688232024	2.0	0.0002575328354365182	0.1
NODE_0003367	NODE_0003368	Senegal	USA	2020.169918406446	0.00851653917038675	4.0	0.0005150656708730364	0.0019646365422396855
NODE_0003363	NODE_0003369	USA	France	2020.1726277356959	0.008521579102989563	27.0	0.003476693278392995	0.017241379310344827
NODE_0003369	NODE_0003373	France	Netherlands	2020.180840411468	0.008397892590210176	15.0	0.0019314962657738862	0.012987012987012988
NODE_0003384	NODE_0003385	USA	Romania	2020.3285960981225	0.014938951295789593	4.0	0.0005150656708730364	1.0
NODE_0003431	NODE_0003438	Israel	USA	2020.2313228942942	0.00899661797166118	14.0	0.0018027298480556271	0.005893909626719057
NODE_0003430	NODE_0003441	Israel	USA	2020.2138419997618	0.008297291914004745	74.0	0.009528714911151173	0.023575638506876228
NODE_0003445	NODE_0003446	Israel	Belgium	2020.2030537692135	0.008180373873983626	50.0	0.006438320885912954	0.0045871559633027525
NODE_0003451	NODE_0003452	Israel	USA	2020.2115357748912	0.019509954674958863	4.0	0.0005150656708730364	0.0019646365422396855
NODE_0003454	USA/CT-Yale-056/2020	Israel	USA	2020.2390710382513	0.049410947233809566	8.0	0.0010301313417460727	0.003929273084479371
NODE_0003457	Russia/StPetersburg-RII4386V/2020	Israel	Russia	2020.2445355191257	0.016895730738269776	2.0	0.0002575328354365182	0.013157894736842105
NODE_0003460	NODE_0003461	USA	Saudi Arabia	2020.172877181752	0.01058751958294124	4.0	0.0005150656708730364	0.02702702702702703
NODE_0003470	Russia/Vector_77628/2020	USA	Russia	2020.2254098360656	0.02941943569749128	2.0	0.0002575328354365182	0.013157894736842105
NODE_0003483	Austria/CeMM0012/2020	Norway	Austria	2020.1926229508197	0.0	3.0	0.00038629925315477725	0.023255813953488372
NODE_0003491	Russia/Krasnoyarsk-66501/2020	USA	Russia	2020.200819672131	0.004904714048052483	2.0	0.0002575328354365182	0.013157894736842105
